584,146
586,167
588,189
592,210
598,231
610,250
625,267
643,280
664,284
686,279
704,264
721,247
733,228
739,208
742,187
744,167
745,146
601,139
611,127
626,122
641,122
656,127
679,126
694,121
709,121
724,127
732,139
667,140
668,154
668,167
668,182
647,190
657,192
667,194
678,191
688,189
619,144
628,140
637,139
646,145
637,145
628,146
688,144
697,139
707,139
715,145
706,145
697,145
625,215
639,209
655,207
667,209
679,207
694,208
706,212
703,214
679,212
667,213
655,212
629,216
706,212
694,229
679,237
666,239
654,238
638,231
625,215
629,216
654,228
666,229
679,227
703,214
584,146
586,167
588,189
592,210
598,231
610,250
625,267
643,280
664,284
686,279
704,264
721,247
733,228
739,208
742,187
744,167
745,146
601,139
611,127
626,122
641,122
656,127
679,126
694,121
709,121
724,127
732,139
667,140
668,154
668,167
668,182
647,190
657,192
667,194
678,191
688,189
619,144
628,140
637,139
646,145
637,145
628,146
688,144
697,139
707,139
715,145
706,145
697,145
625,215
639,209
655,207
667,209
679,207
694,208
706,212
703,214
679,212
667,213
655,212
629,216
706,212
694,229
679,237
666,239
654,238
638,231
625,215
629,216
654,228
666,229
679,227
703,214
584,146
586,167
588,189
592,210
598,231
610,250
625,267
643,280
664,284
686,279
704,264
721,247
733,228
739,208
742,187
744,167
745,146
601,139
611,127
626,122
641,122
656,127
679,126
694,121
709,121
724,127
732,139
667,140
668,154
668,167
668,182
647,190
657,192
667,194
678,191
688,189
619,144
628,140
637,139
646,145
637,145
628,146
688,144
697,139
707,139
715,145
706,145
697,145
625,215
639,209
655,207
667,209
679,207
694,208
706,212
703,214
679,212
667,213
655,212
629,216
706,212
694,229
679,237
666,239
654,238
638,231
625,215
629,216
654,228
666,229
679,227
703,214
105,101
106,116
108,131
111,145
115,159
124,172
134,183
146,192
161,194
175,191
187,181
198,170
207,157
211,144
214,129
215,115
215,101
117,95
123,87
133,83
143,84
153,86
170,86
180,83
190,83
199,86
205,93
162,96
162,105
162,115
162,125
148,130
155,132
162,133
169,131
176,130
129,99
135,96
141,95
147,99
141,100
135,100
177,99
183,95
189,95
194,98
189,99
183,99
133,146
142,143
154,142
162,143
170,142
180,142
189,145
186,146
170,145
162,146
154,145
136,147
189,145
180,156
170,162
161,164
153,163
142,158
133,146
136,147
153,156
161,157
170,155
186,146
